station,start_min,end_min,duration_min,cause,start_timestamp,end_timestamp
S5_Packaging,55937.61492655929,55964.744014096395,27.63291053243601,conveyor_jam,2024-02-09 02:17:27,2024-02-09 02:45:01
S5_Packaging,13629.146175349293,13651.067589963124,22.039604909068423,seal_bar_failure,2024-01-10 17:09:16,2024-01-10 17:30:49
S2_Welding,103385.37871352589,103416.18628968592,31.35991072647138,gas_flow_issue,2024-03-13 01:05:37,2024-03-13 01:36:29
S2_Welding,16328.009111499288,16353.799839076812,25.384715714828694,power_supply_fault,2024-01-12 14:07:59,2024-01-12 14:33:38
S2_Welding,125370.4398604993,125417.5330606399,,gas_flow_issue,2024-03-28 07:30:28,2024-03-28 08:17:58
S3_Assembly,95300.90290569562,95322.94507034401,22.71420701040125,pneumatic_tool_failure,2024-03-07 10:20:24,2024-03-07 10:42:37
S2_Welding,43382.800784333995,43422.58831541945,39.37723413979311,wire_feed_jam,2024-01-31 09:02:49,2024-01-31 09:42:30
S1_CNC_Machining,97182.84531842009,97247.46561317536,64.11726636611317,coolant_system,2024-03-08 17:42:43,2024-03-08 18:47:14
S1_CNC_Machining,6345.200316391596,6403.200588745753,57.53822707347432,tool_breakage,2024-01-05 15:45:11,2024-01-05 16:43:07
S3_Assembly,76736.22215114998,76744.62441302392,9.014266993779298,fixture_jam,2024-02-23 12:55:55,2024-02-23 13:04:50
S3_Assembly,69336.54685008989,69355.19311594237,18.403862556577256,sensor_misread,2024-02-18 09:36:31,2024-02-18 09:54:53
S1_CNC_Machining,55902.75730686664,55944.32635829026,,spindle_failure,2024-02-09 01:42:18,2024-02-09 02:24:45
S4_Inspection,49335.87314958119,49351.90625609738,16.78808398811479,camera_failure,2024-02-04 12:15:48,2024-02-04 12:32:10
S5_Packaging,25548.113656702903,25563.69361255487,15.781857890124918,label_printer_fault,2024-01-18 23:47:59,2024-01-19 00:03:24
S1_CNC_Machining,84168.0951205783,84208.82368677923,40.55004463300973,servo_error,2024-02-28 16:48:04,2024-02-28 17:28:22
S1_CNC_Machining,49057.95414872916,49098.90548433176,41.10508150594949,tool_breakage,2024-02-04 07:37:51,2024-02-04 08:19:12
S2_Welding,10623.78456757943,10667.718429667892,42.612320440430736,wire_feed_jam,2024-01-08 15:04:13,2024-01-08 15:47:14
S1_CNC_Machining,59174.103845534395,59195.49622986664,20.813252464071784,servo_error,2024-02-11 08:13:52,2024-02-11 08:35:05
S5_Packaging,86441.43383629869,86459.17324885866,17.641293298315055,seal_bar_failure,2024-03-01 06:41:18,2024-03-01 06:58:54
S1_CNC_Machining,87011.63499973748,87055.67115383805,43.920222584515955,servo_error,2024-03-01 16:11:45,2024-03-01 16:55:45
S5_Packaging,43230.37403787064,43253.26898413189,23.32264710758391,label_printer_fault,2024-01-31 06:30:32,2024-01-31 06:53:30
S5_Packaging,28790.940288707083,28817.540376444147,27.108884701949247,seal_bar_failure,2024-01-21 05:50:49,2024-01-21 06:17:48
S1_CNC_Machining,102826.13233389346,102865.02543909357,38.97668256162623,coolant_system,2024-03-12 15:46:03,2024-03-12 16:24:54
S2_Welding,40153.414242714854,,44.15411159147197,gas_flow_issue,2024-01-29 03:13:41,2024-01-29 03:57:26
S2_Welding,88449.61175635568,88485.63597750978,35.0180376025082,gas_flow_issue,2024-03-02 16:09:53,2024-03-02 16:45:23
S2_Welding,61402.50873057202,,39.64265521514706,electrode_wear,2024-02-12 21:22:14,2024-02-12 22:01:44
S1_CNC_Machining,19373.83517438774,19412.138766759595,38.522169377933835,coolant_system,2024-01-14 16:54:03,2024-01-14 17:32:29
S2_Welding,39879.79609526579,39898.798765285974,19.09399674966533,gas_flow_issue,2024-01-28 22:39:43,2024-01-28 22:58:33
S1_CNC_Machining,3672.169042648771,3688.3726699742924,16.000506795555534,servo_error,2024-01-03 19:12:13,2024-01-03 19:28:02
S4_Inspection,25586.499351925002,25620.079752503443,33.1036400161254,camera_failure,2024-01-19 00:26:05,2024-01-19 00:59:35
S3_Assembly,53557.680893937075,53576.04284846659,18.285604532821075,sensor_misread,2024-02-07 10:37:27,2024-02-07 10:56:04
S1_CNC_Machining,13286.656913035622,13348.644095269165,61.606640517833824,servo_error,2024-01-10 11:26:58,2024-01-10 12:28:32
S2_Welding,99962.47313286139,100005.90974882565,42.85877308196834,gas_flow_issue,2024-03-10 16:02:39,2024-03-10 16:45:59
S5_Packaging,9601.682488219363,9617.227662835576,15.21591077268368,conveyor_jam,2024-01-07 22:01:52,2024-01-07 22:17:19
S1_CNC_Machining,84697.75556258796,84725.381168095,28.56811133955271,tool_breakage,2024-02-29 01:37:15,2024-02-29 02:05:36
S4_Inspection,50278.35629323859,50297.877325437454,20.15850143966332,software_crash,2024-02-05 03:57:56,2024-02-05 04:18:05
S1_CNC_Machining,110316.5993812311,110354.17051275582,37.90247222597675,tool_breakage,2024-03-17 20:36:45,2024-03-17 21:14:36
S5_Packaging,102130.26439185535,102157.77698869519,27.172175046458374,seal_bar_failure,2024-03-12 04:10:12,2024-03-12 04:37:49
S1_CNC_Machining,65220.31458269804,65277.49957687093,56.99295080620062,coolant_system,2024-02-15 13:00:36,2024-02-15 13:57:10
S1_CNC_Machining,61923.75295564602,61952.9849224138,29.624857277436085,tool_breakage,2024-02-13 06:03:27,2024-02-13 06:33:22
S1_CNC_Machining,87073.43294800399,87096.84001227368,22.60380160589319,spindle_failure,2024-03-01 17:13:25,2024-03-01 17:36:24
S1_CNC_Machining,59666.12975782496,59729.20932990626,62.72304657069391,tool_breakage,2024-02-11 16:26:04,2024-02-11 17:29:05
S2_Welding,119640.27165722089,119669.30929770511,28.78244103534223,power_supply_fault,2024-03-24 07:59:47,2024-03-24 08:28:56
S1_CNC_Machining,75398.3969398365,75458.13751503135,60.37518602734051,tool_breakage,2024-02-22 14:38:02,2024-02-22 15:38:23
S2_Welding,120778.9685155343,120802.50419928318,24.08752759524356,wire_feed_jam,2024-03-25 02:58:55,2024-03-25 03:22:39
S3_Assembly,118478.56676176372,118500.06543723257,21.41854798679933,sensor_misread,2024-03-23 12:38:41,2024-03-23 13:00:10
S1_CNC_Machining,56357.81087224155,56414.145108123856,55.915789881645786,coolant_system,2024-02-09 09:18:10,2024-02-09 10:14:19
S1_CNC_Machining,72057.37943807102,72072.35276548425,15.242038736377483,coolant_system,2024-02-20 06:57:09,2024-02-20 07:12:27
S1_CNC_Machining,60547.25770843249,60566.82543280256,19.93669170646418,spindle_failure,2024-02-12 07:06:55,2024-02-12 07:26:40
S2_Welding,110298.4829309131,110321.91085323613,23.244179000184502,gas_flow_issue,2024-03-17 20:18:37,2024-03-17 20:42:06
S1_CNC_Machining,71780.26319536718,71835.60936910001,54.92527144633562,tool_breakage,2024-02-20 02:20:15,2024-02-20 03:15:26
S4_Inspection,90506.55763035035,90522.6990190309,16.379821899087123,camera_failure,2024-03-04 02:26:45,2024-03-04 02:43:03
S2_Welding,48791.11803249278,48815.91110194678,26.095881943396495,gas_flow_issue,2024-02-04 03:10:38,2024-02-04 03:36:18
S4_Inspection,118819.28349976859,118842.22516034609,,calibration_drift,2024-03-23 18:19:13,2024-03-23 18:41:45
S5_Packaging,74783.42093420654,74803.09679799824,19.62890059575339,label_printer_fault,2024-02-22 04:23:19,2024-02-22 04:43:12
S4_Inspection,77642.26268117828,77658.87317619845,16.69959276078088,camera_failure,2024-02-24 04:02:24,2024-02-24 04:18:53
S2_Welding,120966.74409711114,120998.9951321672,32.188709092465466,electrode_wear,2024-03-25 06:06:49,2024-03-25 06:38:43
S4_Inspection,51695.031701922024,51705.58365845368,11.733954499127412,calibration_drift,2024-02-06 03:34:34,2024-02-06 03:45:55
S2_Welding,44092.51395450171,44115.43976438795,23.781587893250318,electrode_wear,2024-01-31 20:52:27,2024-01-31 21:15:51
S2_Welding,802.1774019381406,826.981585654738,24.056677297995588,wire_feed_jam,2024-01-01 19:22:15,2024-01-01 19:46:48
S5_Packaging,63070.29009407273,63097.032161251685,26.64500510795689,seal_bar_failure,2024-02-14 01:09:59,2024-02-14 01:36:39
S1_CNC_Machining,30795.976719844894,30845.90536019562,50.17123530686918,servo_error,2024-01-22 15:16:05,2024-01-22 16:06:10
S4_Inspection,,,32.8998504725117,software_crash,2024-01-02 19:53:16,2024-01-02 20:26:02
S2_Welding,36467.43992232072,36506.57428456488,39.15041500622499,power_supply_fault,2024-01-26 13:47:53,2024-01-26 14:26:46
S1_CNC_Machining,109144.3222044827,109188.00707568548,44.31846430431616,coolant_system,2024-03-17 01:04:03,2024-03-17 01:48:17
S2_Welding,116889.3596306222,116926.17064156347,36.32672119485181,electrode_wear,2024-03-22 10:09:26,2024-03-22 10:46:05
S2_Welding,90129.29400997964,90163.31929920033,33.821458199609424,power_supply_fault,2024-03-03 20:09:07,2024-03-03 20:43:21
S2_Welding,107903.13235497418,107943.09539792205,40.289436341446105,power_supply_fault,2024-03-16 04:22:53,2024-03-16 05:03:23
S1_CNC_Machining,100190.0514984782,100211.48529554726,21.727755325768264,tool_breakage,2024-03-10 19:50:09,2024-03-10 20:11:45
S1_CNC_Machining,30366.460824781723,30416.84032759557,50.46751841103379,servo_error,2024-01-22 08:06:13,2024-01-22 08:56:26
S5_Packaging,74827.04511685793,74860.42660919362,33.879062459055504,conveyor_jam,2024-02-22 05:06:48,2024-02-22 05:40:20
S5_Packaging,87698.31668642572,87729.9220539243,31.84111801136228,seal_bar_failure,2024-03-02 03:38:02,2024-03-02 04:09:39
S2_Welding,23625.059737065592,23656.831522793396,31.440114382336848,wire_feed_jam,2024-01-17 15:44:44,2024-01-17 16:16:22
S1_CNC_Machining,114674.13549709716,114742.27813186655,69.25575182294612,servo_error,2024-03-20 21:13:47,2024-03-20 22:22:43
S1_CNC_Machining,62310.912648866404,62348.65577723089,38.0503388213292,servo_error,2024-02-13 12:30:57,2024-02-13 13:08:35
S4_Inspection,124039.9221628742,124061.12867875998,21.223616863132218,camera_failure,2024-03-27 09:20:06,2024-03-27 09:41:36
